source,target,weight,e_type
162935835,volcánnevadodelruiz,1.0,HASHTAGS
162935835,pereira,2.0,HASHTAGS
162935835,nevadodelruiz,3.0,HASHTAGS
162935835,volcan,1.0,HASHTAGS
162935835,cenizavolcanica,1.0,HASHTAGS
162935835,recomendaciones,1.0,HASHTAGS
162935835,ejecafetero,1.0,HASHTAGS
162935835,carder,1.0,HASHTAGS
162935835,risaralda,1.0,HASHTAGS
162935835,plandecontingencia,1.0,HASHTAGS
162935835,florayfauna,1.0,HASHTAGS
39386089,volcánnevadodelruiz,1.0,HASHTAGS
39386089,pereira,2.0,HASHTAGS
39386089,nevadodelruiz,3.0,HASHTAGS
39386089,volcan,1.0,HASHTAGS
39386089,cenizavolcanica,1.0,HASHTAGS
39386089,recomendaciones,1.0,HASHTAGS
39386089,ejecafetero,1.0,HASHTAGS
39386089,carder,1.0,HASHTAGS
39386089,risaralda,1.0,HASHTAGS
39386089,plandecontingencia,1.0,HASHTAGS
39386089,florayfauna,1.0,HASHTAGS
303462914,volcan,2.0,HASHTAGS
303462914,nevadodelruiz,2.0,HASHTAGS
303462914,goes16,1.0,HASHTAGS
303462914,goeseast,1.0,HASHTAGS
3188446954,live,1.0,HASHTAGS
3188446954,nevadodelruiz,1.0,HASHTAGS
3188446954,foro,1.0,HASHTAGS
1600191659559587800,volcannevadodelruiz,10.0,HASHTAGS
1358791351060562000,nevadodelruiz,1.0,HASHTAGS
883080230352691200,nevadodelruiz,1.0,HASHTAGS
883080230352691200,volcáncolombiano,1.0,HASHTAGS
883080230352691200,historiageológica,1.0,HASHTAGS
883080230352691200,cordilleracentral,1.0,HASHTAGS
285150210,medioambiente,1.0,HASHTAGS
285150210,alertanaranja,1.0,HASHTAGS
285150210,nevadodelruiz,3.0,HASHTAGS
285150210,colombia,3.0,HASHTAGS
285150210,latinoamerica,1.0,HASHTAGS
285150210,ruiz,1.0,HASHTAGS
285150210,volcan,2.0,HASHTAGS
285150210,volcannevadodelruiz,2.0,HASHTAGS
285150210,manizales,1.0,HASHTAGS
285150210,caldas,1.0,HASHTAGS
285150210,tolima,1.0,HASHTAGS
285150210,noticias,1.0,HASHTAGS
1498656651729064000,actualidad,1.0,HASHTAGS
1498656651729064000,nevadodelruiz,1.0,HASHTAGS
435969323,nevadodelruiz,2.0,HASHTAGS
262182469,nevadodelruiz,4.0,HASHTAGS
231483693,nevadodelruiz,2.0,HASHTAGS
756474668463296500,nevadodelruiz,1.0,HASHTAGS
353252094,nevadodelruiz,1.0,HASHTAGS
79483727,servicio,1.0,HASHTAGS
79483727,nevadodelruiz,3.0,HASHTAGS
142934693,somoscruzroja,7.0,HASHTAGS
142934693,nevadodelruiz,7.0,HASHTAGS
142934693,comunidadesmejorpreparadas,7.0,HASHTAGS
142934693,volcánnevadodelruiz,1.0,HASHTAGS
20980846,nevadodelruiz,5.0,HASHTAGS
20980846,colombia,1.0,HASHTAGS
20980846,nevadodelruíz,1.0,HASHTAGS
397366316,erupción,6.0,HASHTAGS
397366316,nevadodelruiz,20.0,HASHTAGS
397366316,volcannevadodelruiz,2.0,HASHTAGS
397366316,volcanes,1.0,HASHTAGS
397366316,sismos,3.0,HASHTAGS
397366316,actividad,1.0,HASHTAGS
397366316,minería,4.0,HASHTAGS
1458551591359942700,volcánnevadodelruiz,1.0,HASHTAGS
596777602,volcánnevadodelruiz,1.0,HASHTAGS
596777602,volcanenalerta,1.0,HASHTAGS
973529434480414700,volcannevadodelruiz,1.0,HASHTAGS
21249205,tolima,1.0,HASHTAGS
21249205,españa,1.0,HASHTAGS
21249205,nevadodelruiz,1.0,HASHTAGS
1305932089213280300,volcancotopaxi,1.0,HASHTAGS
1305932089213280300,nevadodelruiz,1.0,HASHTAGS
1305932089213280300,ecuador,1.0,HASHTAGS
1305932089213280300,colombia,1.0,HASHTAGS
875031105044439000,nevadodelruíz,1.0,HASHTAGS
1374741347224141800,nacional,4.0,HASHTAGS
1374741347224141800,nuevemunicipios,1.0,HASHTAGS
1374741347224141800,antioquia,1.0,HASHTAGS
1374741347224141800,erupción,2.0,HASHTAGS
1374741347224141800,volcán,1.0,HASHTAGS
1374741347224141800,nevadodelruiz,6.0,HASHTAGS
1374741347224141800,nevadodelruíz,1.0,HASHTAGS
1374741347224141800,autoridades,1.0,HASHTAGS
1374741347224141800,alertanaranja,1.0,HASHTAGS
1374741347224141800,volcanenalerta,1.0,HASHTAGS
1374741347224141800,manizales,1.0,HASHTAGS
1374741347224141800,semanasanta,1.0,HASHTAGS
1374741347224141800,alertas,1.0,HASHTAGS
1374741347224141800,fumarola,1.0,HASHTAGS
1374741347224141800,presidente,1.0,HASHTAGS
1374741347224141800,zonaderiesgo,1.0,HASHTAGS
1374741347224141800,caldas,1.0,HASHTAGS
1374741347224141800,tolima,1.0,HASHTAGS
1374741347224141800,cundinamarca,1.0,HASHTAGS
3328599936,nevadodelruiz,1.0,HASHTAGS
1379840233,acesiinforma,1.0,HASHTAGS
1379840233,nevadodelruiz,1.0,HASHTAGS
1379840233,alertanaranja,1.0,HASHTAGS
1379840233,acesi,1.0,HASHTAGS
1379840233,hospitalespublicos,1.0,HASHTAGS
436058991,volcannevadodelruiz,1.0,HASHTAGS
116744790,volcánnevadodelruiz,1.0,HASHTAGS
1485441168,nevadodelruiz,1.0,HASHTAGS
67763981,nevadodelruiz,6.0,HASHTAGS
154263029,volcánnevadodelruiz,2.0,HASHTAGS
1183456744569262000,diosteama,1.0,HASHTAGS
1183456744569262000,bendiciones,1.0,HASHTAGS
1183456744569262000,amén,1.0,HASHTAGS
1183456744569262000,ejércitonacional,1.0,HASHTAGS
1183456744569262000,volcanenalerta,1.0,HASHTAGS
1183456744569262000,volcan,1.0,HASHTAGS
1183456744569262000,volcannevadodelruiz,1.0,HASHTAGS
3313541309,manizalesdealma,1.0,HASHTAGS
3313541309,martacalvache,1.0,HASHTAGS
3313541309,volcannevadodelruiz,1.0,HASHTAGS
1498070511410159600,volcannevadodelruiz,1.0,HASHTAGS
551507489,volcannevadodelruiz,2.0,HASHTAGS
